Page,Product Name,Current Price,Original Price,Discount,Rating Score,Ratings Count,Reviews Count,Highlights
34,"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...","₹33,990","₹45,990",26% off,4.3,28925,2208,"1200 RPM Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support"
34,"Godrej 8 kg with Tri-Roto Scrub Pulsator Washing Machine Semi Automatic Top Load White, Pink","₹13,490","₹17,000",20% off,4.5,190,14,1440 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years on Motor
34,Panasonic 7 kg Fully Automatic Front Load Washing Machine with In-built Heater White,"₹29,330","₹40,500",27% off,N/A,N/A,N/A,1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Warranty on Product and 10 Years Warranty on Motor
34,Lloyd by Havells 8 kg Semi Automatic Top Load Washing Machine Blue,"₹13,490","₹19,000",28% off,N/A,N/A,N/A,"1300 rpm Max Speed | 5 Star Rating | 2 Years Warranty on Product, 5 Years Warranty on Motor"
34,IFB 8 kg Fully Automatic Top Load Washing Machine with In-built Heater Brown,"₹28,780","₹32,950",12% off,4.3,42,8,720 RPM Max Speed | 5 Star Rating | With In-Built Heater | 4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty
35,Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,"₹14,490","₹19,550",25% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor
35,"Samsung 9 kg 5 star, Ecobubble, Wi-Fi, Digital Inverter, Fully Automatic Top Load Washing Machine Grey","₹23,490","₹30,500",22% off,4.3,104648,6680,"700 rpm Max Speed | 5 Star Rating | 2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
35,"Samsung 8 kg with Steam,inverter Fully Automatic Top Load Washing Machine Grey","₹20,489","₹25,500",19% off,4.3,24,2,700 RPM Max Speed | 5 Star Rating | 2 Years on product and 20 Years on motor.
35,"Godrej 7 kg Semi Automatic Top Load Washing Machine White, Blue","₹11,500","₹12,990",11% off,4.1,286,25,1440 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years on Motor from Godrej
35,"Godrej 7 kg Zero Pressure Technology Fills Tub 60% Faster, Fabrisafe Steel Drum Fully Automatic Top Lo...","₹13,990","₹27,300",48% off,4.2,9824,678,720 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor
35,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...","₹10,490","₹12,800",18% off,4.4,41641,2713,1400 rpm Max Speed | 5 Star Rating | 4 Years Comprehensive Warranty and 5 Years Warranty on Motor
35,TOSHIBA 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Silver,"₹43,490","₹54,990",20% off,N/A,N/A,N/A,1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | 4 Years Warranty on Product and 10 Years on Motor
35,Thomson 8 kg Fully Automatic Top Load Washing Machine Grey,"₹15,990","₹19,499",17% off,3.9,758,117,700 rpm Max Speed | 2 Years Warranty on Product and 5 Years Warranty on Motor
35,"Whirlpool 7.5 kg 5 Star, Supersoak Technology Semi Automatic Top Load Washing Machine Red","₹12,690","₹14,900",14% off,4.4,5603,638,1450 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover from Whirlpool
35,LG 10 kg with Wi-Fi EnabledAI Direct Drive Technology Fully Automatic Front Load Washing Machine with ...,"₹46,990","₹63,990",26% off,3.9,22,0,1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 1 Year Warranty on Product and 10 Years Warranty on Motor
35,"Samsung 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey","₹19,490","₹27,000",27% off,4.3,104648,6680,"700 rpm Max Speed | 5 Star Rating | 2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
35,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹17,490","₹23,250",24% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor
35,Samsung 7 kg Fully Automatic Top Load Washing Machine Purple,"₹25,990","₹28,190",7% off,4.5,39,6,700 rpm Max Speed | 3 Years Comprehensive Warranty and 10 Years Warranty on Motor from Samsung
35,Acer 8 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹15,989","₹29,999",46% off,3.3,3,0,700 RPM Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor
35,"Samsung 10 kg 5 Star, AI Wash, Ecobubble, AI Energy Mode, AI VRT+, Soft Closing Door, Wi-Fi, Digital I...","₹25,990","₹33,990",23% off,4.3,104648,6680,"700 rpm Max Speed | 5 Star Rating | 2 Years comprehensive warranty on product, 20 Years warranty on Digital Inverter Motor."
