Page,Product Name,Current Price,Original Price,Discount,Rating Score,Ratings Count,Reviews Count,Highlights,Product URL
2,"Samsung 9 kg 5 Star, AI Control, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam, Digital Inverter Motor Fully Automatic Front Load Washing Machine with In-built Heater Blue(WW90DG6U24ASTL)","₹39,990","₹57,990",31% off,4.3,25237.0,1743.0,1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 2 Years Comprehensive Warranty on Product and 20 Years Warranty on Motor,https://www.flipkart.com/samsung-9-kg-5-star-ai-control-ecobubble-super-speed-wi-fi-hygiene-steam-digital-inverter-motor-fully-automatic-front-load-washing-machine-in-built-heater-blue/p/itmff95b84019dc9
2,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Washing Machine Grey(MAGIC CLEAN 7.0 GREY DAZZLE (5YR))","₹8,490","₹12,800",33% off,4.4,41859.0,2721.0,1400 rpm Max Speed | 5 Star Rating | 4 Years Comprehensive Warranty and 5 Years Warranty on Motor,https://www.flipkart.com/whirlpool-7-kg-5-star-ace-wash-station-1400-rpm-speed-rust-proof-semi-automatic-top-load-washing-machine-grey/p/itm4a1a90b50cd6a
2,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black","₹7,890","₹12,490",36% off,4.2,95150.0,8215.0,1400 RPM Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor,https://www.flipkart.com/realme-techlife-7-kg-5-star-rating-semi-automatic-top-load-washing-machine-white-black/p/itmc94e124668ec6
2,"Samsung 7.5 Kg Semi Automatic Top Load Washing Machine Grey, Red","₹11,290","₹15,800",28% off,4.4,37866.0,2373.0,"1300 rpm Max Speed | 5 Star Rating | 2 years comprehensive on product,5 Year Warranty on Wash Motor(T&C Apply)",https://www.flipkart.com/samsung-7-5-kg-semi-automatic-top-load-washing-machine-grey-red/p/itm23dd5eeaad69d
2,"MarQ by Flipkart by Flipkart 8 kg Washer only Maroon, White","₹4,799","₹12,000",60% off,4.2,1429.0,116.0,1350 RPM Max Speed | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor,https://www.flipkart.com/marq-flipkart-8-kg-washer-only-maroon-white/p/itm89c0462a66643
2,"MarQ by Flipkart 6 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine White, Maroon(MQSA605NNNDM / MQSA60H5W)","₹6,990","₹11,990",41% off,4.3,30399.0,2662.0,1350 rpm Max Speed | 5 Star Rating | 2 Years Warranty on Product and 04 Years Special Warranty on Wash Motor,https://www.flipkart.com/marq-flipkart-6-kg-5-star-rating-innowash-range-semi-automatic-top-load-washing-machine-white-maroon/p/itm11df0fd0f85df
2,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey","₹7,890","₹13,990",43% off,4.2,95150.0,8215.0,1400 RPM Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor,https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-semi-automatic-top-load-washing-machine-black-grey/p/itm16f231540f615
2,"BOSCH 7 kg Fully Automatic Front Load Washing Machine Black, Grey","₹27,990","₹50,990",45% off,4.3,12950.0,949.0,1200 RPM Max Speed | 5 Star Rating | 2 Years Warranty on Product and 12 Years Warranty on Wash Motor,https://www.flipkart.com/bosch-7-kg-fully-automatic-front-load-washing-machine-black-grey/p/itm9b2daa52f89cb
2,"LG 7 kg 5 Star, Smart Inverter Technology, TurboDrum, Smart Diagnosis with Soft Closing Door Fully Automatic Top Load Washing Machine Black(T70VBMB1Z)","₹19,990","₹28,990",31% off,4.4,85200.0,5956.0,740 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,https://www.flipkart.com/lg-8-kg-5-star-smart-inverter-technology-turbodrum-diagnosis-soft-closing-door-fully-automatic-top-load-washing-machine-black/p/itma69f01a7f0c0a
2,"Voltas Beko by A Tata Product 10 kg Semi Automatic Top Load Washing Machine Blue, White","₹13,290","₹20,590",35% off,4.3,22287.0,1461.0,"1350 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product, 5 Years Warranty on Spin Motor and 10 Years Warranty on Wash Motor",https://www.flipkart.com/voltas-beko-tata-product-10-kg-semi-automatic-top-load-washing-machine-blue-white/p/itm7fff5af75b285
2,BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,"₹35,490","₹52,990",33% off,4.3,12950.0,949.0,1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,https://www.flipkart.com/bosch-8-kg-fully-automatic-front-load-washing-machine-in-built-heater-black/p/itm93a502fc55c7d
